movie,title,genres,year,Rating,Rotton Tomato
2847,Only Angels Have Wings,Adventure|Drama|Romance,1938,6,85
2899,Gulliver's Travels,Adventure|Animation|Children,1938,1,98
4178,Of Mice and Men,Drama,1939,4,91
6412,Destry Rides Again,Comedy|Western,1939,6,65
7061,Dark Victory,Drama|Romance,1939,5,65
7072,Stagecoach,Action|Drama|Romance|Western,1939,4,69
7311,"Goodbye, Mr. Chips",Drama|Romance,1939,3,80
7840,Gunga Din,Adventure|Comedy|War,1939,9,66
59180,Tarzan Finds a Son!,Action|Adventure,1938,6,91
596,Pinocchio,Animation|Children|Fantasy|Musical,1940,10,54
928,Rebecca,Drama|Mystery|Romance|Thriller,1939,3,78
929,Foreign Correspondent,Drama|Film-Noir|Mystery|Thriller,1939,6,72
951,His Girl Friday,Comedy|Romance,1939,6,76
1282,Fantasia,Animation|Children|Fantasy|Musical,1939,8,70
3122,Santa Fe Trail,Drama|Romance|Western,1939,4,56
3870,Our Town,Drama,1939,6,86
5232,Road to Singapore,Comedy|Musical,1939,3,57
7579,Pride and Prejudice,Comedy|Drama|Romance,1939,1,87
8522,My Little Chickadee,Comedy|Western,1939,8,80
8712,My Favorite Wife,Comedy|Romance,1940,6,61
25852,Gaslight,Mystery|Thriller,1939,7,86
32844,Waterloo Bridge,Drama|Romance|War,1940,6,52
37211,Go West,Comedy|Musical|Western,1940,6,83
923,Citizen Kane,Drama|Mystery,1941,4,59
956,Penny Serenade,Drama|Romance,1941,5,94
973,Meet John Doe,Comedy|Drama,1941,10,92
1029,Dumbo,Animation|Children|Drama|Musical,1941,6,51
1935,How Green Was My Valley,Drama|Musical|Romance,1941,3,62
2205,Mr. & Mrs. Smith,Comedy|Romance,1941,10,79
2206,Suspicion,Film-Noir|Mystery|Thriller,1941,3,87
2936,Sullivan's Travels,Adventure|Comedy|Romance,1941,10,81
5234,Road to Zanzibar,Comedy,1940,4,58
7208,Dr. Jekyll and Mr. Hyde,Drama|Horror,1941,4,62
7216,High Sierra,Crime|Drama|Film-Noir|Thriller,1941,10,51
25868,Ball of Fire,Comedy|Romance,1941,10,54
25874,Never Give a Sucker an Even Break,Comedy|Musical,1941,7,84
31116,Sergeant York,Drama|War,1940,4,53
42681,49th Parallel,Adventure|Drama|Thriller|War,1941,8,95
912,Casablanca,Drama|Romance,1942,1,85
946,To Be or Not to Be,Comedy|Drama|War,1941,10,72
1936,Mrs. Miniver,Drama|War,1941,10,90
2018,Bambi,Animation|Children|Drama,1942,10,78
2204,Saboteur,Mystery|Thriller,1942,10,96
3061,Holiday Inn,Comedy|Musical,1941,8,78
3628,Flying Tigers,Action|Drama|Romance|War,1942,6,50
4920,"Now, Voyager",Drama|Romance,1942,10,55
5231,Road to Morocco,Comedy,1942,6,52
6743,Jungle Book,Adventure|Fantasy,1941,8,81
6856,Yankee Doodle Dandy,Drama|Musical,1941,7,80
7583,In This Our Life,Drama,1942,6,96
7713,Cat People,Drama|Horror|Romance|Thriller,1942,6,61
8422,Kings Row,Drama|Romance,1942,7,99
8465,Johnny Eager,Crime|Drama|Film-Noir|Romance,1942,1,74
8765,This Gun for Hire,Crime|Film-Noir|Thriller,1941,3,93
25886,Random Harvest,Drama|Romance,1941,1,56
71525,A-Haunting We Will Go,Comedy,1941,10,72
2203,Shadow of a Doubt,Crime|Drama|Thriller,1942,4,54
2653,Son of Dracula,Horror,1943,9,92
3377,Hangmen Also Die!,Drama|War,1942,9,50
3611,Saludos Amigos,Animation|Children|Comedy,1943,1,75
4923,Guadalcanal Diary,Action|War,1943,8,97
5001,Sahara,Action|Drama|War,1942,5,89
7883,I Walked with a Zombie,Drama|Horror,1943,1,81
8612,Lassie Come Home,Adventure|Children|Drama,1942,3,76
8700,Destination Tokyo,Adventure|War,1942,3,99
25891,Heaven Can Wait,Comedy|Fantasy|Romance,1943,10,93
25898,Day of Wrath (Vredens dag),Drama,1943,8,70
906,Gaslight,Drama|Thriller,1944,1,58
918,Meet Me in St. Louis,Musical,1944,2,70
942,Laura,Crime|Film-Noir|Mystery,1943,7,51
1069,"Murder, My Sweet",Crime|Film-Noir|Thriller,1943,5,74
1269,Arsenic and Old Lace,Comedy|Mystery|Thriller,1943,1,93
1937,Going My Way,Comedy|Drama|Musical,1943,3,60
2202,Lifeboat,Drama|War,1944,3,88
2647,House of Frankenstein,Horror,1944,10,73
3435,Double Indemnity,Crime|Drama|Film-Noir,1944,9,74
6983,Jane Eyre,Drama|Romance,1943,2,61
7059,National Velvet,Children|Drama,1944,9,64
7215,To Have and Have Not,Adventure|Drama|Romance|Thriller|War,1944,5,62
25904,Ministry of Fear,Drama|Film-Noir|Thriller,1943,9,67
25906,Mr. Skeffington,Drama|Romance,1943,8,68
931,Spellbound,Mystery|Romance|Thriller,1944,6,100
2612,Mildred Pierce,Drama|Film-Noir,1945,10,52
2920,Children of Paradise (Les enfants du paradis),Drama|Romance,1944,9,75
3599,Anchors Aweigh,Comedy|Musical,1944,5,66
3966,Detour,Crime|Film-Noir,1944,4,65
4194,I Know Where I'm Going!,Drama|Romance|War,1944,4,93
5169,Scarlet Street,Film-Noir,1945,1,69
5304,"Rome, Open City (a.k.a. Open City) (Roma, città aperta)",Drama|War,1945,7,98
8460,State Fair,Musical|Romance,1944,3,94
8584,Leave Her to Heaven,Drama|Film-Noir,1944,10,95
61634,Son of Lassie,Children|Drama,1944,6,99
80346,"Song to Remember, A",Drama,1944,4,93
930,Notorious,Film-Noir|Romance|Thriller,1946,5,85
953,It's a Wonderful Life,Children|Drama|Fantasy|Romance,1945,9,58
960,Angel on My Shoulder,Crime|Drama,1945,7,84
2927,Brief Encounter,Drama|Romance,1946,4,66
2940,Gilda,Drama|Film-Noir|Mystery|Romance,1946,4,85
3775,Make Mine Music,Animation|Children|Musical,1945,1,87
5233,Road to Utopia,Comedy,1946,7,59
7210,My Darling Clementine,Western,1946,9,100
8003,Bedlam,Drama|Horror,1945,6,59
8766,Black Angel,Drama|Film-Noir|Mystery,1946,8,76
47728,Green for Danger,Crime|Mystery,1946,1,100
68872,Paisan (Paisà),Drama|War,1946,8,100
1068,Crossfire,Crime|Film-Noir,1947,7,82
1154,T-Men,Film-Noir,1947,6,62
1940,Gentleman's Agreement,Drama,1947,10,67
2398,Miracle on 34th Street,Comedy|Drama,1947,3,79
3380,Railroaded!,Film-Noir,1947,2,63
3632,Monsieur Verdoux,Comedy|Crime,1946,9,66
3656,Lured,Crime|Film-Noir|Mystery|Thriller,1947,1,58
3759,Fun and Fancy Free,Animation|Children|Musical,1946,8,96
5167,My Favorite Brunette,Comedy|Mystery,1946,2,60
5289,Body and Soul,Drama|Film-Noir,1947,4,93
6047,Dead Reckoning,Drama|Film-Noir|Mystery,1946,9,69
6467,Quai des Orfèvres (Jenny Lamour),Crime|Drama,1946,10,78
6603,"Double Life, A",Crime|Drama|Film-Noir,1946,9,93
7217,Dark Passage,Crime|Drama|Film-Noir|Romance|Thriller,1946,1,50
8338,Black Narcissus,Drama,1946,2,95
8420,Possessed,Drama|Film-Noir,1946,1,57
25929,Nightmare Alley,Drama|Film-Noir,1947,1,77
25930,Odd Man Out,Crime|Drama|Film-Noir|Thriller,1947,10,59
41585,Kiss of Death,Crime|Drama|Film-Noir,1947,10,100
746,Force of Evil,Film-Noir,1947,3,73
1152,He Walked by Night,Crime|Film-Noir|Thriller,1947,2,96
1153,Raw Deal,Film-Noir,1948,3,63
1941,Hamlet,Drama,1948,5,76
2176,Rope,Crime|Drama|Thriller,1948,2,84
3334,Key Largo,Crime|Drama|Film-Noir|Thriller,1947,8,97
3928,Abbott and Costello Meet Frankenstein,Comedy|Horror,1947,4,90
5434,"Sorry, Wrong Number",Drama|Film-Noir|Thriller,1947,10,56
7070,Red River,Action|Adventure|Western,1947,8,79
7919,Drunken Angel (Yoidore tenshi),Drama|Film-Noir,1948,6,58
8341,Oliver Twist,Adventure|Crime|Drama,1947,2,70
8463,Johnny Belinda,Drama,1947,7,94
8711,Mr. Blandings Builds His Dream House,Comedy,1947,5,63
25937,Easter Parade,Musical|Romance,1948,3,57
25941,Letter from an Unknown Woman,Drama|Romance,1948,4,96
25947,Unfaithfully Yours,Comedy,1948,2,83
31973,Germany Year Zero (Germania anno zero) (Deutschland im Jahre Null),Drama|War,1948,5,84
32371,Call Northside 777,Crime|Drama|Film-Noir,1947,1,77
1026,So Dear to My Heart,Children|Drama,1948,2,84
2200,Under Capricorn,Drama,1948,3,53
2430,Mighty Joe Young,Adventure|Children|Drama,1949,4,79
4338,Twelve O'Clock High,Drama|War,1949,1,81
5440,She Wore a Yellow Ribbon,Western,1949,1,63
6650,Kind Hearts and Coronets,Comedy|Drama,1949,7,98
7121,Adam's Rib,Comedy|Romance,1949,5,93
7212,I Was a Male War Bride,Comedy|Romance,1949,9,68
7407,Africa Screams,Adventure|Comedy,1949,5,53
7924,Stray Dog (Nora inu),Drama|Film-Noir|Thriller,1949,1,90
8257,Battleground,Action|Drama|War,1949,7,65
8491,White Heat,Crime|Drama|Film-Noir,1948,10,95
8768,Criss Cross,Crime|Drama|Film-Noir,1949,4,60
25952,"Letter to Three Wives, A",Comedy|Drama,1949,9,86
42217,Late Spring (Banshun),Drama,1948,8,68
83603,Fern flowers (Fleur de fougère),Animation,1949,7,67
115139,Challenge to Lassie,Children|Drama,1948,9,96
755,Kim,Children|Drama,1949,2,85
922,Sunset Blvd. (a.k.a. Sunset Boulevard),Drama|Film-Noir|Romance,1949,3,72
926,All About Eve,Drama,1949,9,76
1022,Cinderella,Animation|Children|Fantasy|Musical|Romance,1950,2,57
2187,Stage Fright,Mystery|Romance|Thriller,1950,1,96
3088,Harvey,Comedy|Fantasy,1949,8,87
3341,Born Yesterday,Comedy,1949,3,81
3780,Rocketship X-M,Sci-Fi,1949,10,77
5291,Rashomon (Rashômon),Crime|Drama|Mystery,1950,9,52
5826,Rio Grande,Romance|Western,1949,8,98
6273,In a Lonely Place,Drama|Film-Noir|Mystery|Romance,1950,4,88
6405,Treasure Island,Adventure|Children,1950,1,82
6429,Winchester '73,Western,1949,1,60
7223,D.O.A.,Drama|Film-Noir|Mystery,1950,7,66
25962,King Solomon's Mines,Action|Adventure|Romance,1950,8,55
25965,Summer Stock,Comedy|Musical|Romance,1949,4,54
44073,Stromboli,Drama,1950,10,67
52378,No Way Out,Drama|Film-Noir,1949,4,82
900,"American in Paris, An",Musical|Romance,1950,1,96
1032,Alice in Wonderland,Adventure|Animation|Children|Fantasy|Musical,1951,4,84
1104,"Streetcar Named Desire, A",Drama,1950,2,67
2186,Strangers on a Train,Crime|Drama|Film-Noir|Thriller,1950,5,98
3406,Captain Horatio Hornblower R.N.,Action|Adventure|Drama|War,1950,9,81
5168,Royal Wedding,Comedy|Musical|Romance,1951,2,99
7211,People Will Talk,Comedy|Romance,1950,7,98
8187,On Moonlight Bay,Comedy|Musical,1951,9,78
8492,"Christmas Carol, A (Scrooge)",Drama|Fantasy,1950,8,89
8502,Show Boat,Drama|Musical|Romance,1951,9,66
8785,Early Summer (Bakushû),Drama,1951,7,71
1283,High Noon,Drama|Western,1952,3,91
3559,Limelight,Comedy|Drama|Romance,1951,3,71
4188,Hans Christian Andersen,Children|Musical,1952,6,90
6527,Scaramouche,Adventure|Romance,1952,3,58
6611,Umberto D.,Drama,1952,4,65
6669,Ikiru,Drama,1951,8,61
6830,Sudden Fear,Film-Noir|Horror|Thriller,1951,8,68
6982,Forbidden Games (Jeux interdits),Drama|War,1952,8,99
7705,Pat and Mike,Comedy|Romance,1951,10,52
9012,Ruby Gentry,Drama,1951,3,88
25971,Carrie,Drama|Romance,1952,4,81
25972,Clash by Night,Drama|Film-Noir,1951,9,95
47092,On Dangerous Ground,Crime|Drama|Film-Noir,1951,9,96
56015,Kansas City Confidential,Crime|Drama|Film-Noir|Mystery,1952,10,69
84098,Phone Call from a Stranger,Drama,1951,6,83
916,Roman Holiday,Comedy|Drama|Romance,1953,1,58
1944,From Here to Eternity,Drama|Romance|War,1953,3,71
2087,Peter Pan,Animation|Children|Fantasy|Musical,1952,4,98
2362,Glen or Glenda,Drama,1952,5,90
2661,It Came from Outer Space,Sci-Fi,1952,4,59
2939,Niagara,Drama|Thriller,1953,3,95
3196,Stalag 17,Drama|War,1953,4,62
3404,Titanic,Action|Drama,1953,10,99
3871,Shane,Drama|Western,1953,7,61
4356,Gentlemen Prefer Blondes,Comedy|Musical|Romance,1952,9,80
4357,How to Marry a Millionaire,Comedy|Drama|Romance,1953,5,96
5372,Calamity Jane,Musical|Western,1952,4,80
6358,Kiss Me Kate,Comedy|Musical|Romance,1953,1,65
6629,House of Wax,Crime|Horror|Mystery|Thriller,1953,7,59
6643,Tokyo Story (Tôkyô monogatari),Drama,1953,4,53
7209,"M. Hulot’s Holiday (Mr. Hulot's Holiday) (Vacances de Monsieur Hulot, Les)",Comedy,1952,3,96
7335,Pickup on South Street,Film-Noir,1953,1,88
7822,Mogambo,Adventure|Drama|Romance,1953,5,72
7942,Summer with Monika (Sommaren med Monika),Drama|Romance,1953,7,100
8199,Ugetsu (Ugetsu monogatari),Drama|Thriller,1953,2,88
95113,Eaux d'artifice,Fantasy,1953,2,61
904,Rear Window,Mystery|Thriller,1954,4,58
915,Sabrina,Comedy|Romance,1954,9,63
1086,Dial M for Murder,Crime|Mystery|Thriller,1954,3,87
2019,Seven Samurai (Shichinin no samurai),Action|Adventure|Drama,1953,2,96
2363,Godzilla (Gojira),Drama|Horror|Sci-Fi,1953,5,89
3675,White Christmas,Comedy|Musical|Romance,1953,6,81
4319,Apache,Western,1954,9,76
5079,Young at Heart,Drama|Musical|Romance,1953,6,50
5085,Carmen Jones,Drama|Musical,1953,5,96
7234,"Strada, La",Drama,1953,6,87
8008,Brigadoon,Fantasy|Musical|Romance,1953,9,64
8410,Suddenly,Crime|Drama|Film-Noir,1953,10,62
8462,Executive Suite,Drama,1953,7,95
8618,Johnny Guitar,Drama|Western,1953,9,96
8654,Prince Valiant,Adventure,1953,5,75
25993,Magnificent Obsession,Drama|Romance,1953,7,80
25995,Samurai I: Musashi Miyamoto (Miyamoto Musashi),Action|Adventure|Drama,1953,2,100
25996,"Star Is Born, A",Drama|Musical,1954,4,60
31374,Hobson's Choice,Comedy|Drama|Romance,1953,8,85
933,To Catch a Thief,Crime|Mystery|Romance|Thriller,1954,8,62
949,East of Eden,Drama,1954,4,87
982,Picnic,Drama,1955,3,100
1103,Rebel Without a Cause,Drama,1954,7,98
1946,Marty,Drama|Romance,1955,7,69
2656,Tarantula,Horror|Sci-Fi,1954,1,79
2727,Killer's Kiss,Crime|Film-Noir,1955,9,91
3035,Mister Roberts,Comedy|Drama|War,1954,6,51
3414,Love Is a Many-Splendored Thing,Drama|Romance|War,1955,3,87
3549,Guys and Dolls,Comedy|Musical|Romance,1954,7,98
4298,Rififi (Du rififi chez les hommes),Crime|Film-Noir|Thriller,1955,6,65
4426,Kiss Me Deadly,Film-Noir,1955,1,100
5333,Bob le Flambeur,Crime|Drama,1954,5,71
6431,Battle Cry,Drama|War,1954,6,93
7116,Diabolique (Les diaboliques),Horror|Mystery|Thriller,1955,6,90
7585,Summertime,Drama|Romance,1955,2,90
7614,Oklahoma!,Musical|Romance|Western,1954,7,86
7787,To Hell and Back,Action|Drama|War,1955,7,74
7941,Smiles of a Summer Night (Sommarnattens leende),Comedy|Romance,1955,3,96
8094,Bad Day at Black Rock,Drama|Thriller|Western,1955,1,53
8143,Lola Montès,Drama,1955,8,70
8447,This Island Earth,Sci-Fi,1954,10,52
8451,Blackboard Jungle,Drama,1955,10,66
26003,Night and Fog (Nuit et brouillard),Crime|Documentary|War,1955,5,95
26005,Samurai II: Duel at Ichijoji Temple (Zoku Miyamoto Musashi: Ichijôji no kettô),Action|Adventure|Drama,1954,6,66
32469,We're No Angels,Comedy|Crime|Drama,1954,3,87
78111,Artists and Models,Comedy|Musical,1955,9,50
96792,Kismet,Adventure|Comedy|Fantasy|Musical|Romance,1954,5,88
948,Giant,Drama|Romance|Western,1956,7,87
1301,Forbidden Planet,Drama|Sci-Fi,1955,7,100
3845,And God Created Woman (Et Dieu... créa la femme),Drama,1955,1,78
4046,Friendly Persuasion,Drama,1956,5,79
5966,"Kiss Before Dying, A",Film-Noir|Mystery,1955,6,64
6357,High Society,Comedy|Musical|Romance,1955,4,54
6516,Anastasia,Drama,1956,9,70
8136,Indestructible Man,Crime|Horror|Sci-Fi,1955,8,54
8194,Baby Doll,Drama,1956,2,85
8403,Helen of Troy,Action|Adventure|Drama|Romance|War,1956,6,57
8684,"Man Escaped, A (Un  condamné à mort s'est échappé ou Le vent souffle où il veut)",Adventure|Drama,1955,5,63
26010,Carousel,Musical|Romance,1956,4,94
26012,Samurai III: Duel on Ganryu Island (a.k.a. Bushido) (Miyamoto Musashi kanketsuhen: kettô Ganryûjima),Action|Adventure|Drama,1956,1,62
26013,Rodan (Sora no daikaijû Radon),Adventure,1956,3,95
62049,1984,Drama|Sci-Fi,1956,10,73
901,Funny Face,Comedy|Musical,1957,3,87
932,"Affair to Remember, An",Drama|Romance,1957,7,90
1012,Old Yeller,Children|Drama,1957,4,56
1178,Paths of Glory,Drama|War,1956,1,98
1203,12 Angry Men,Drama,1956,7,71
2351,"Nights of Cabiria (Notti di Cabiria, Le)",Drama,1957,5,85
3096,My Man Godfrey,Comedy,1956,8,56
3199,Pal Joey,Comedy|Drama|Musical|Romance,1957,7,82
3640,"King in New York, A",Comedy|Drama,1956,10,66
3659,Quatermass 2 (Enemy from Space),Sci-Fi|Thriller,1957,9,79
3934,Kronos,Sci-Fi,1956,6,52
4432,Sweet Smell of Success,Drama|Film-Noir,1956,8,59
5147,Wild Strawberries (Smultronstället),Drama,1956,10,97
5300,3:10 to Yuma,Action|Adventure|Drama|Thriller|Western,1957,4,81
6227,Loving You,Drama|Musical,1957,3,65
6355,"Girls, Les",Musical,1956,8,74
6390,Silk Stockings,Musical,1956,2,78
6450,"Heaven Knows, Mr. Allison",Drama|War,1956,3,56
6970,Desk Set,Comedy|Romance,1956,1,52
7357,Peyton Place,Drama|Romance,1957,8,51
7766,Throne of Blood (Kumonosu jô),Action|Drama|Thriller|War,1956,3,51
8672,Battle Hymn,Drama,1956,5,68
82313,Nightfall,Crime|Drama|Film-Noir,1956,1,86
89408,April Love,Comedy|Drama|Musical,1957,4,56
903,Vertigo,Drama|Mystery|Romance|Thriller,1958,5,57
938,Gigi,Musical,1957,8,84
971,Cat on a Hot Tin Roof,Drama,1957,3,63
1248,Touch of Evil,Crime|Film-Noir|Thriller,1957,7,95
2670,Run Silent Run Deep,War,1957,3,98
2941,South Pacific,Musical|Romance|War,1957,3,63
3405,"Night to Remember, A",Action|Drama,1958,5,77
3516,"Bell, Book and Candle",Comedy|Fantasy|Romance,1957,3,82
3548,Auntie Mame,Comedy|Drama,1958,1,79
3605,King Creole,Crime|Drama|Musical,1957,9,100
4798,Indiscreet,Comedy|Romance,1958,10,70
5384,I Want to Live!,Crime|Drama,1957,2,87
5649,Horror of Dracula (Dracula),Horror,1957,7,57
5836,Houseboat,Comedy|Romance,1958,9,68
7206,Mon Oncle (My Uncle),Comedy,1957,1,84
7238,Ashes and Diamonds (Popiól i diament),Drama|War,1957,5,73
8009,Marjorie Morningstar,Drama,1957,1,97
8989,Damn Yankees!,Comedy|Musical,1958,2,51
74630,Tom Thumb,Children|Fantasy|Musical,1958,9,86
841,"Eyes Without a Face (Yeux sans visage, Les)",Horror,1959,5,60
908,North by Northwest,Action|Adventure|Mystery|Romance|Thriller,1958,1,89
910,Some Like It Hot,Comedy|Crime,1959,10,93
1287,Ben-Hur,Action|Adventure|Drama,1959,7,75
1924,Plan 9 from Outer Space,Horror|Sci-Fi,1958,3,64
2096,Sleeping Beauty,Animation|Children|Musical,1959,1,76
2519,House on Haunted Hill,Drama|Horror|Thriller,1958,8,67
2669,Pork Chop Hill,War,1958,5,71
3801,Anatomy of a Murder,Drama|Mystery,1959,3,65
3872,"Suddenly, Last Summer",Drama,1958,8,66
4329,Rio Bravo,Western,1958,9,56
4802,Operation Petticoat,Action|Comedy|Romance|War,1958,9,60
6031,Imitation of Life,Drama|Romance,1959,8,94
6183,Pillow Talk,Comedy|Musical|Romance,1959,8,59
7088,Black Orpheus (Orfeu Negro),Drama|Romance,1959,10,71
7131,"Summer Place, A",Drama,1958,4,57
7180,Odds Against Tomorrow,Crime|Drama|Thriller,1958,6,88
7916,Gidget,Comedy,1959,3,63
8197,Hiroshima Mon Amour,Drama|Romance|War,1959,1,89
26052,Pickpocket,Crime|Drama,1959,4,51
41336,Nazarin (Nazarín),Drama,1958,1,68
47287,Compulsion,Crime|Drama|Thriller,1958,6,82
659,Purple Noon (Plein soleil),Crime|Drama|Thriller,1959,6,64
1014,Pollyanna,Children|Comedy|Drama,1960,3,63
1017,Swiss Family Robinson,Adventure|Children,1960,10,51
1219,Psycho,Crime|Horror,1959,10,85
2079,Kidnapped,Adventure|Children|Drama,1959,2,63
2488,Peeping Tom,Drama|Horror|Thriller,1960,6,75
2728,Spartacus,Action|Drama|Romance|War,1960,3,88
3205,Black Sunday (La maschera del demonio),Horror,1959,6,51
3602,G.I. Blues,Comedy|Musical|Romance,1959,5,99
4051,Horrors of Spider Island (Ein Toter Hing im Netz),Horror|Sci-Fi,1959,6,58
4190,Elmer Gantry,Drama,1960,6,53
